city,country,latitude,longitude,hemisphere,gee_asset_id
Athens,Greece,37.9838,23.7275,Northern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Brasília,Brazil,-15.8267,-47.9218,Southern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Dhaka,Bangladesh,23.8103,90.4125,Northern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Riyadh,Saudi Arabia,24.7136,46.6753,Northern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Warsaw,Poland,52.2297,21.0122,Northern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Nairobi,Kenya,-1.2921,36.8219,Southern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Hà Nội,Vietnam,21.0285,105.8542,Northern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Tashkent,Uzbekistan,41.2995,69.2401,Northern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Vienna,Austria,48.2082,16.3738,Northern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Berlin,Germany,52.52,13.405,Northern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Seoul,South Korea,37.5665,126.978,Northern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Delhi,India,28.7041,77.1025,Northern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Bangkok,Thailand,13.7367,100.5231,Northern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Doha,Qatar,25.2854,51.531,Northern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Kyiv,Ukraine,50.4501,30.5234,Northern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Bucharest,Romania,44.4268,26.1025,Northern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Tbilisi,Georgia,41.7151,44.8271,Northern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Ulaanbaatar,Mongolia,47.8864,106.9057,Northern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Dar es-Salaam,Tanzania,-6.7924,39.2083,Southern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Maputo,Mozambique,-25.9692,32.5732,Southern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Gaborone,Botswana,-24.6581,25.9088,Southern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Special capital Region of Jakarta,Indonesia,-6.1754,106.8272,Southern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
New York,United States,40.7128,-74.006,Northern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Mumbai,India,19.076,72.8777,Northern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Karachi Division,Pakistan,24.8607,67.0011,Northern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
Baghdad,Iraq,33.3152,44.3661,Northern,projects/ee-saghisarafi/assets/Global_UHI_City_Boundaries
