system:index,LC_class,LC_percent,city,max_LST,mean_LST,mean_top10_LST,n_images,sensor,year,.geo
0000000000000000004e_0,1,42.14745864045965,Gaborone,317.1639253072336,310.5940824941821,317.1639253072336,9,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e_1,2,52.03323436517172,Gaborone,316.5273217205914,307.99873843795024,316.5273217205914,9,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e_2,3,0.1587615037062252,Gaborone,317.36284864494377,308.75919642906166,317.36284864494377,9,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e_3,4,1.2190167868277126,Gaborone,304.90035358030565,300.9580711106887,304.90035358030565,9,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e_4,5,4.441528703834694,Gaborone,315.23694956705185,308.6695767706686,315.23694956705185,9,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058_0,1,59.25906619701442,Special capital Region of Jakarta,302.40385282281034,301.32979607469207,302.40385282281034,25,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058_1,2,2.465911585869376,Special capital Region of Jakarta,299.7915053416685,297.622441165265,299.7915053416685,25,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058_2,3,1.0535287137181384,Special capital Region of Jakarta,299.5869063608244,299.4393645778609,299.5869063608244,25,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058_3,4,1.6050629779634944,Special capital Region of Jakarta,299.64052469852857,298.6705416165301,299.64052469852857,25,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058_4,5,35.61643052543457,Special capital Region of Jakarta,298.15658108827637,295.21024309196736,298.15658108827637,25,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_0,1,70.5504862283304,New York,311.3319523809908,306.34310704553974,311.3312039996649,17,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_1,2,5.241314590555312,New York,304.47166515911493,301.1403620756261,304.46506514776684,17,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_2,3,0.740671950853345,New York,307.4159844998428,303.48678901112226,307.4120468831385,17,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_3,4,3.427766354062104,New York,301.54171249966174,298.89012894453253,301.5409456914145,17,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_4,5,20.03976087619882,New York,298.31313995025704,297.2296875156417,298.31294596623405,17,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,1,59.9684216202242,Mumbai,313.27430491416646,311.21550717603003,313.27430491416646,7,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_1,2,32.6766101429689,Mumbai,310.8617501549027,309.0196817890898,310.8617501549027,7,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_2,3,1.1147334746854436,Mumbai,312.88964691073784,308.90195077886665,312.88964691073784,7,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_3,4,4.201984967431442,Mumbai,307.61373957799606,306.6250942547537,307.61373957799606,7,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_4,5,2.03824979469003,Mumbai,305.96479303555935,304.2646907715678,305.96479303555935,7,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,1,14.402084074547144,Karachi Division,313.4316780217148,311.17009560947156,313.43166543444454,20,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_1,2,28.91670141622952,Karachi Division,314.0787288091002,311.4839279155685,314.0784851727244,20,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_2,3,3.126116783337646,Karachi Division,312.9062096498793,310.70296293769115,312.9058157034153,20,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_3,4,1.1358068354551911,Karachi Division,307.8088381882942,306.10320412426836,307.8088381882942,20,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_4,5,52.41929089043048,Karachi Division,313.1507764021348,310.1941015085716,313.14954932351304,20,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,1,54.492724447114135,Baghdad,329.201948654752,324.88382011128084,328.78845123608073,11,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_1,2,25.204504833517255,Baghdad,329.9630992327203,325.4303655458999,329.44103696018897,11,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_2,3,7.82071125197572,Baghdad,329.95422787893926,325.2171158817285,329.3696048458112,11,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_3,4,2.1908388224666955,Baghdad,315.75914304209965,312.3032235004678,315.4078219071463,11,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_4,5,10.2912206449262,Baghdad,332.5848902874456,327.551400003874,332.078165929296,11,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028_0,1,5.446497061758547,Baku City,319.7633737929803,313.49988653220817,319.76271909526724,30,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028_1,2,11.040990948566243,Baku City,324.11572066950384,316.75704263464957,324.1141883742764,30,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028_2,3,0.0934986281038332,Baku City,318.42366365028107,312.0397608362048,318.392587895068,30,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028_3,4,81.16709433957399,Baku City,303.71041107305393,299.9607156077295,303.7075896129845,30,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028_4,5,2.2519190219973892,Baku City,322.78335356749267,315.47359171179534,322.7827521527058,30,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,1,67.94843039733021,Manila,312.6568740504345,310.73140552771633,312.6568740504345,5,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_1,2,0.0396786716692172,Manila,310.5917188814169,307.84435301800664,310.5917188814169,5,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_2,3,0.0014170954167577,Manila,311.82942240823485,308.82406533927383,311.82942240823485,5,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_3,4,1.3321863937277914,Manila,307.1605039237921,304.84104006903294,307.1605039237921,5,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_4,5,30.67828744185602,Manila,304.827847292464,302.80206345346784,304.827847292464,5,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,1,89.7209354604191,Toronto,307.8732095569129,304.11201278315696,307.4839760073439,18,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_1,2,4.133626339596064,Toronto,300.84482895235476,297.06997919459616,300.3987869468453,18,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_2,3,1.761844263319536,Toronto,302.63721714407706,299.27581521695623,302.29055215509857,18,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_3,4,4.382521010936249,Toronto,295.08583775258256,291.4855316259325,295.0638860221584,18,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_4,5,0.0010729257290401,Toronto,299.81474796470474,297.5018705414979,299.81474796470474,18,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b_0,1,56.05412247228616,San Francisco,312.8390533765166,311.0239653586346,312.8390533765166,16,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b_1,2,1.7135716552500897,San Francisco,306.5579436058154,304.66056290910996,306.5579436058154,16,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b_2,3,0.1565988043635331,San Francisco,307.45160376734685,304.8252050786323,307.45160376734685,16,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b_3,4,1.839667977473312,San Francisco,299.69637090746255,298.43216353342984,299.69637090746255,16,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b_4,5,40.23603909062692,San Francisco,294.02495654422285,292.86465417223974,294.02495654422285,16,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054_0,1,79.68343012920394,City of Georgetown,306.5055737400455,288.3441816255743,306.5055737400455,6,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054_1,2,19.133471358522456,City of Georgetown,304.19803462475176,296.71461459261775,304.19803462475176,6,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054_2,3,0.9640061951858788,City of Georgetown,304.32667700841836,286.12008722651484,304.32667700841836,6,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054_3,4,0.0784342052310108,City of Georgetown,303.6638039110887,290.1666034802238,303.6638039110887,6,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054_4,5,0.1406581118566889,City of Georgetown,304.3419474204133,279.5526562917221,304.3419474204133,6,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059_0,1,89.55433109387991,Bandung City,300.05235972524264,294.86523285388347,300.05235972524264,14,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059_1,2,4.350046967254037,Bandung City,300.2548147250856,293.7790208360261,300.2548147250856,14,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059_2,3,6.0589798586638235,Bandung City,307.6956205485288,299.736748852939,307.6956205485288,14,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059_3,4,0.0366420802022351,Bandung City,301.91878493262834,297.6141275708624,301.91878493262834,14,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a_0,1,73.19031265294782,Surabaya,312.83644192141475,307.49723712455085,312.83644192141475,10,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a_1,2,6.483004743020833,Surabaya,308.6479218956386,303.4200974965318,308.6479218956386,10,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a_2,3,4.781991754983764,Surabaya,308.7072573944843,303.3391041233099,308.7072573944843,10,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a_3,4,13.38524983893711,Surabaya,306.5559453576103,300.88605910805364,306.5559453576103,10,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a_4,5,2.159441010110477,Surabaya,305.9644387285571,299.4860641562639,305.9644387285571,10,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b_0,1,80.01725686607789,City of Medan,306.8029568103495,301.7916855020224,306.8029568103495,10,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b_1,2,12.717383028010932,City of Medan,289.3538510092499,286.9729108621429,289.3538510092499,10,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b_2,3,1.0735817602755573,City of Medan,296.16260689727426,289.4921763276419,296.16260689727426,10,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b_3,4,5.930018999815719,City of Medan,282.2276540218805,281.8411764188771,282.2276540218805,10,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b_4,5,0.2617593458198894,City of Medan,279.7172143360468,279.71714778219945,279.7172143360468,10,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c_0,1,75.08282936205639,Denpasar,315.4413108045499,305.1871108647321,315.37684318609473,19,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c_1,2,4.925776839201028,Denpasar,307.41961068862724,300.2019008579204,307.30209729763726,19,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c_2,3,3.1389829499187933,Denpasar,310.1653601064871,303.2361614815039,310.1256508434719,19,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c_3,4,1.9450635325511176,Denpasar,305.8266919676396,298.73212534566005,305.8017464299246,19,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c_4,5,14.907347316272638,Denpasar,303.77057909532255,297.1324266423018,303.7703198650072,19,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,1,97.00110592444842,Kathmandu Metropolitan City,314.39340982993264,308.1794923744307,314.39340982993264,5,L8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
