system:index,baseline_year,city,delta_LST,delta_max_LST,delta_top10_LST,final_year,max_LST_2000,max_LST_2020,mean_LST_2000,mean_LST_2020,n_images_2000,n_images_2020,n_pixels,sensor_2000,sensor_2020,top10_LST_2000,top10_LST_2020,transition,transition_area_pct,transition_code,.geo,error
00000000000000000060_0,2000.0,Athens,-2.649496511849236,-2.8380696066066093,-3.3982926251778736,2020.0,315.1446182852468,312.3065486786402,310.00160088047176,307.3521043686225,14.0,17.0,61.0,L5,L8,315.1446182852468,311.7463256600689,veg→imp,0.1099990983680461,201.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000060_1,2000.0,Athens,-1.7765588888259458,-2.999959353571967,-3.3204003031708567,2020.0,316.92432738072205,313.9243680271501,311.9405556297898,310.16399674096385,14.0,17.0,55242.0,L5,L8,316.9196401752028,313.59923987203194,imp→imp,99.61590478766568,101.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000060_2,2000.0,Athens,-2.126160934716154,-2.7205066524173276,-3.447350674037807,2020.0,315.2825509314856,312.5620442790683,309.9449890094065,307.8188280746904,14.0,17.0,146.0,L5,L8,315.2825509314856,311.8352002574478,veg→veg,0.2632765305202416,202.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000060_3,2000.0,Athens,-4.235906257598572,-6.048296489880329,-6.049424949399452,2020.0,322.55976676782024,316.5114702779399,317.60500094568675,313.3690946880882,14.0,17.0,6.0,L5,L8,322.55976676782024,316.5103418184208,crop→crop,0.0108195834460373,303.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000008_0,2000.0,Berlin,-3.4404387629230655,-2.426121389069408,-2.431566538618654,2020.0,305.59308327251244,303.16696188344304,300.8032820005735,297.36284323765045,12.0,27.0,80025.0,L5,L8,305.59308327251244,303.1615167338938,veg→imp,4.9297939435456195,201.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000008_1,2000.0,Berlin,-2.410418882704448,-2.007326222409461,-2.010782664403962,2020.0,311.3825449547349,309.37521873232544,304.04109412396025,301.6306752412558,12.0,27.0,1379.0,L5,L8,311.3825449547349,309.37176229033093,veg→crop,0.0849507759843725,203.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000008_2,2000.0,Berlin,-2.2504085352279617,-0.8751171737661139,-0.8813500803760803,2020.0,300.70011853395766,299.82500136019155,297.0692042595052,294.81879572427727,12.0,27.0,666.0,L5,L8,300.70011853395766,299.8187684535816,veg→wat,0.0410277134195736,204.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000008_3,2000.0,Berlin,-2.8515297930944143,-0.8885367504371402,-0.8893473134820056,2020.0,299.3606182862863,298.47208153584916,297.2338603558173,294.38233056272287,12.0,27.0,9.0,L5,L8,299.3606182862863,298.4712709728043,veg→bare,0.0005544285597239685,205.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000008_4,2000.0,Berlin,0.0798878688483455,1.0519334056524483,1.0399075084608285,2020.0,308.7130176637802,309.76495106943264,302.295674001534,302.37556187038234,12.0,27.0,3414.0,L5,L8,308.7130176637802,309.752925172241,crop→imp,0.210313233655292,301.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
00000000000000000008_5,2000.0,Berlin,-0.393314843090593,0.9309703137280394,0.9198273385086396,2020.0,308.8256223250354,309.75659263876344,302.522955179391,302.1296403363004,12.0,27.0,8885.0,L5,L8,308.8256223250354,309.74544966354404,crop→veg,0.5473441947941623,302.0,"{""type"":""MultiPoint"",""coordinates"":[]}",
