year,month,monthly_anomaly,monthly_unc,annual_anomaly,annual_unc,five_yr_anomaly,five_yr_unc,ten_yr_anomaly,ten_yr_unc,twenty_yr_anomaly,twenty_yr_unc,absolute_temp_C,absolute_temp_K
1750,1,-0.252,3.265,,,,,,,,,,
1750,2,-1.261,3.178,-0.49,1.0,,,,,,,8.1,281.25
1750,3,0.225,2.527,-0.505,1.026,,,,,,,8.084999999999999,281.23499999999996
1750,4,0.288,1.62,-0.53,1.037,,,,,,,8.06,281.21
1750,5,-0.97,1.206,-0.839,1.041,,,,,,,7.7509999999999994,280.90099999999995
1750,6,-0.573,0.959,-0.816,1.078,,,,,,,7.774,280.924
1750,7,0.39,1.199,-0.892,1.073,,,,,,,7.6979999999999995,280.84799999999996
1750,8,0.947,0.937,-1.035,1.09,,,,,,,7.555,280.705
1750,9,-0.433,1.601,-1.035,1.102,,,,,,,7.555,280.705
1750,10,-1.777,1.588,-1.127,1.103,,,,,,,7.463,280.613
1750,11,-3.979,1.982,-1.101,1.1,,,,,,,7.489,280.63899999999995
1750,12,-2.385,2.518,-1.133,1.093,,,,,,,7.457,280.60699999999997
1751,1,-1.157,3.232,-1.073,1.121,,,,,,,7.5169999999999995,280.667
1751,2,-2.982,3.371,-1.112,1.117,,,,,,,7.478,280.628
1751,3,0.227,2.417,-1.136,1.096,,,,,,,7.454,280.604
1751,4,-0.813,1.638,-1.186,1.172,,,,,,,7.404,280.554
1751,5,-0.659,1.514,-1.059,1.223,,,,,,,7.531,280.681
1751,6,-0.959,0.97,-0.951,1.278,,,,,,,7.639,280.789
1751,7,1.108,1.435,-1.084,1.282,,,,,,,7.506,280.65599999999995
1751,8,0.483,0.926,-0.683,1.324,,,,,,,7.907,281.05699999999996
1751,9,-0.727,1.258,-0.69,1.343,,,,,,,7.9,281.04999999999995
1751,10,-2.373,5.091,-0.702,1.328,,,,,,,7.888,281.03799999999995
1751,11,-2.452,2.442,-0.616,1.324,,,,,,,7.974,281.12399999999997
1751,12,-1.096,3.335,-0.519,1.338,,,,,,,8.071,281.221
1752,1,-2.751,3.557,-0.548,1.323,,,,,,,8.042,281.19199999999995
1752,2,1.829,4.708,-0.635,1.331,,,,,,,7.955,281.10499999999996
1752,3,0.149,2.529,,,,,,,,,,
1752,4,-0.963,1.742,,,,,,,,,,
1752,5,0.372,1.514,,,,,,,,,,
1752,6,0.205,1.205,,,,,,,,,,
1752,7,0.76,1.387,,,,,,,,,,
1752,8,-0.559,1.342,,,,,,,,,,
1752,9,,,,,,,,,,,,
1752,10,-0.989,1.662,,,,,,,,,,
1752,11,0.573,2.04,,,,,,,,,,
1752,12,-0.154,3.175,,,,,,,,,,
1753,1,-0.214,4.049,,,,,,,,,,
1753,2,-1.564,4.91,,,,,,,,,,
1753,3,0.717,2.942,-0.133,1.1,,,,,,,8.457,281.60699999999997
1753,4,-0.292,2.255,-0.06,1.102,,,,,,,8.53,281.67999999999995
1753,5,0.672,1.791,-0.149,1.105,,,,,,,8.441,281.59099999999995
1753,6,0.003,2.517,-0.384,1.13,,,,,,,8.206,281.356
1753,7,-0.313,1.657,-0.367,1.256,,,,,,,8.222999999999999,281.373
1753,8,-0.411,1.696,-0.487,1.308,,,,,,,8.103,281.253
1753,9,0.397,2.347,-0.665,1.337,,,,,,,7.925,281.075
1753,10,-0.113,1.88,-0.329,1.472,,,,,,,8.261,281.411
1753,11,-0.504,2.145,-0.29,1.561,,,,,,,8.3,281.45
1753,12,-2.968,4.364,-0.259,1.54,,,,,,,8.331,281.481
1754,1,-0.007,3.479,-0.223,1.604,,,,,,,8.366999999999999,281.517
1754,2,-3.014,4.789,-0.252,1.689,,,,,,,8.338,281.488
1754,3,-1.407,3.395,-0.37,1.708,,,,,,,8.22,281.37
1754,4,3.73,2.052,-0.309,1.809,,,,,,,8.281,281.431
1754,5,1.142,4.117,-0.231,1.897,,,,,,,8.359,281.50899999999996
1754,6,0.375,2.37,0.081,1.662,,,,,,,8.671,281.82099999999997
1754,7,0.125,1.338,0.054,1.744,,,,,,,8.644,281.794
