season,year,oni,warm_episode,cool_episode
DJF,2000,-1.47,False,True
JFM,2000,-1.26,False,True
FMA,2000,-0.98,False,True
MAM,2000,-0.81,False,True
AMJ,2000,-0.67,False,True
MJJ,2000,-0.62,False,True
JJA,2000,-0.48,False,False
JAS,2000,-0.4,False,False
ASO,2000,-0.42,False,False
SON,2000,-0.54,False,True
OND,2000,-0.76,False,True
NDJ,2000,-0.78,False,True
DJF,2001,-0.76,False,True
JFM,2001,-0.54,False,True
FMA,2001,-0.43,False,False
MAM,2001,-0.29,False,False
AMJ,2001,-0.19,False,False
MJJ,2001,-0.08,False,False
JJA,2001,-0.05,False,False
JAS,2001,-0.13,False,False
ASO,2001,-0.15,False,False
SON,2001,-0.26,False,False
OND,2001,-0.33,False,False
NDJ,2001,-0.32,False,False
DJF,2002,-0.15,False,False
JFM,2002,0.07,False,False
FMA,2002,0.11,False,False
MAM,2002,0.15,False,False
AMJ,2002,0.3,False,False
MJJ,2002,0.45,False,False
JJA,2002,0.57,True,False
JAS,2002,0.63,True,False
ASO,2002,0.78,True,False
SON,2002,0.99,True,False
OND,2002,1.19,True,False
NDJ,2002,1.08,True,False
DJF,2003,0.9,True,False
JFM,2003,0.59,True,False
FMA,2003,0.38,False,False
MAM,2003,-0.01,False,False
AMJ,2003,-0.18,False,False
MJJ,2003,-0.13,False,False
JJA,2003,0.09,False,False
JAS,2003,0.14,False,False
ASO,2003,0.23,False,False
SON,2003,0.23,False,False
OND,2003,0.29,False,False
NDJ,2003,0.29,False,False
DJF,2004,0.34,False,False
JFM,2004,0.27,False,False
FMA,2004,0.19,False,False
MAM,2004,0.1,False,False
AMJ,2004,0.12,False,False
MJJ,2004,0.22,False,False
JJA,2004,0.39,False,False
JAS,2004,0.54,True,False
ASO,2004,0.58,True,False
SON,2004,0.61,True,False
OND,2004,0.64,True,False
NDJ,2004,0.71,True,False
DJF,2005,0.62,True,False
JFM,2005,0.55,True,False
FMA,2005,0.4,False,False
MAM,2005,0.37,False,False
AMJ,2005,0.27,False,False
MJJ,2005,0.09,False,False
JJA,2005,-0.04,False,False
JAS,2005,-0.14,False,False
ASO,2005,-0.11,False,False
SON,2005,-0.27,False,False
OND,2005,-0.57,False,True
NDJ,2005,-0.82,False,True
DJF,2006,-0.86,False,True
JFM,2006,-0.8,False,True
FMA,2006,-0.63,False,True
MAM,2006,-0.45,False,False
AMJ,2006,-0.19,False,False
MJJ,2006,-0.05,False,False
JJA,2006,0.12,False,False
JAS,2006,0.33,False,False
ASO,2006,0.54,True,False
SON,2006,0.71,True,False
OND,2006,0.88,True,False
NDJ,2006,0.88,True,False
DJF,2007,0.62,True,False
JFM,2007,0.19,False,False
FMA,2007,-0.12,False,False
MAM,2007,-0.32,False,False
AMJ,2007,-0.34,False,False
MJJ,2007,-0.41,False,False
JJA,2007,-0.49,False,False
JAS,2007,-0.77,False,True
ASO,2007,-1.05,False,True
SON,2007,-1.38,False,True
OND,2007,-1.57,False,True
NDJ,2007,-1.72,False,True
DJF,2008,-1.76,False,True
JFM,2008,-1.61,False,True
FMA,2008,-1.37,False,True
MAM,2008,-1.05,False,True
AMJ,2008,-0.85,False,True
MJJ,2008,-0.56,False,True
JJA,2008,-0.33,False,False
JAS,2008,-0.2,False,False
ASO,2008,-0.25,False,False
SON,2008,-0.36,False,False
OND,2008,-0.57,False,True
NDJ,2008,-0.79,False,True
DJF,2009,-0.89,False,True
JFM,2009,-0.84,False,True
FMA,2009,-0.63,False,True
MAM,2009,-0.35,False,False
AMJ,2009,0.03,False,False
MJJ,2009,0.34,False,False
JJA,2009,0.5,True,False
JAS,2009,0.56,True,False
ASO,2009,0.66,True,False
SON,2009,0.92,True,False
OND,2009,1.31,True,False
NDJ,2009,1.5,True,False
DJF,2010,1.47,True,False
JFM,2010,1.21,True,False
FMA,2010,0.88,True,False
MAM,2010,0.38,False,False
AMJ,2010,-0.16,False,False
MJJ,2010,-0.66,False,True
JJA,2010,-0.98,False,True
JAS,2010,-1.24,False,True
ASO,2010,-1.43,False,True
SON,2010,-1.54,False,True
OND,2010,-1.57,False,True
NDJ,2010,-1.48,False,True
DJF,2011,-1.29,False,True
JFM,2011,-1.06,False,True
FMA,2011,-0.85,False,True
MAM,2011,-0.68,False,True
AMJ,2011,-0.5,False,True
MJJ,2011,-0.34,False,False
JJA,2011,-0.37,False,False
JAS,2011,-0.5,False,True
ASO,2011,-0.76,False,True
SON,2011,-0.94,False,True
OND,2011,-1.02,False,True
NDJ,2011,-0.92,False,True
DJF,2012,-0.71,False,True
JFM,2012,-0.56,False,True
FMA,2012,-0.44,False,False
MAM,2012,-0.35,False,False
AMJ,2012,-0.18,False,False
MJJ,2012,0.03,False,False
JJA,2012,0.28,False,False
JAS,2012,0.39,False,False
ASO,2012,0.37,False,False
SON,2012,0.28,False,False
OND,2012,0.13,False,False
NDJ,2012,-0.03,False,False
DJF,2013,-0.24,False,False
JFM,2013,-0.28,False,False
FMA,2013,-0.23,False,False
MAM,2013,-0.2,False,False
AMJ,2013,-0.3,False,False
MJJ,2013,-0.38,False,False
JJA,2013,-0.45,False,False
JAS,2013,-0.34,False,False
ASO,2013,-0.32,False,False
SON,2013,-0.14,False,False
OND,2013,-0.12,False,False
NDJ,2013,-0.11,False,False
DJF,2014,-0.24,False,False
