Response,LC_Class,β_(K_per_%),Std_Err,t_value,p_value,n,model_R2
ΔLST,Impervious,0.16955215367143628,0.06864731889822165,2.4699020499667124,0.01599206976931013,74,0.1862
ΔLST,Vegetation,-5.001423600367594e-05,0.09655609475783859,-0.0005179811396588789,0.9995882055273625,74,0.1862
ΔLST,Cropland,-0.21730223221952777,0.09834342042613739,-2.209626544184891,0.030452176646002613,74,0.1862
ΔLST,Water,-0.13963866195412378,0.26749296143187956,-0.5220274253447394,0.6033231147981926,74,0.1862
ΔLST,Bare,0.187438754738219,0.13593528657322823,1.3788822568689396,0.17238478939417073,74,0.1862
ΔLST_Max,Impervious,0.2826654083089259,0.09093238612638965,3.108522940507035,0.0027311068810561947,74,0.1794
ΔLST_Max,Vegetation,-0.016986820358046384,0.12790122370829402,-0.1328120237284707,0.8947286084113175,74,0.1794
ΔLST_Max,Cropland,-0.12329888243398832,0.13026877120194513,-0.9464960887889856,0.3471985647115883,74,0.1794
ΔLST_Max,Water,-0.47008437792219654,0.3543295447718534,-1.3266869355330662,0.18898635943705533,74,0.1794
ΔLST_Max,Bare,0.32770467240530543,0.18006413309753366,1.819933080330888,0.07310673829899082,74,0.1794
ΔLST_Max10,Impervious,0.2832122711639441,0.09034638457667594,3.1347382907567827,0.002526460143226219,74,0.1812
ΔLST_Max10,Vegetation,-0.008745180950244263,0.12707698144988497,-0.06881797828738227,0.9453335528628863,74,0.1812
ΔLST_Max10,Cropland,-0.12285938134407934,0.12942927160168682,-0.9492395330955269,0.34581175755075644,74,0.1812
ΔLST_Max10,Water,-0.4848896785873496,0.3520461156088151,-1.3773470494023203,0.17285664069588288,74,0.1812
ΔLST_Max10,Bare,0.33328196971772917,0.17890373397530734,1.8629123177704576,0.06673153419734046,74,0.1812
