transition,n_cities,mean_dLST,median_dLST,std_dLST,mean_area,std_area
wat→bare,69,6.6669,5.3366,6.2763,0.0742,0.3106
wat→crop,51,6.3919,6.017,7.184,0.1092,0.3026
wat→imp,84,6.0686,5.6248,6.4343,0.8494,1.2195
wat→veg,81,5.8891,5.3131,6.1566,0.2518,0.4894
crop→imp,81,5.1415,4.895,7.6625,1.6208,2.6345
veg→crop,82,4.8643,3.8787,7.5101,0.9334,1.6166
veg→imp,88,4.8059,3.901,7.0522,4.6528,3.8985
crop→veg,78,4.5023,4.557,7.6753,1.0566,1.7825
bare→imp,74,4.4748,3.9246,6.2332,0.7875,3.5254
bare→veg,52,3.9933,3.8992,5.6417,0.2869,1.6736
bare→crop,25,3.2878,2.1332,6.9626,0.0768,0.2077
crop→bare,28,2.7968,4.2095,5.9127,0.0644,0.1652
veg→bare,64,2.7398,2.4399,5.249,0.1315,0.5064
veg→wat,83,1.9174,1.7162,6.256,0.1463,0.1952
imp→wat,3,0.8625,0.3792,5.0789,0.0001,0.0001
bare→wat,66,0.7493,1.4488,6.801,0.0207,0.056
crop→wat,57,0.5982,-0.1115,7.3407,0.1454,0.5057
imp→bare,3,0.5598,2.7648,4.3399,0.0003,0.0005
imp→veg,5,-0.3108,-0.8794,3.8322,0.011,0.0166
imp→crop,2,-0.7524,-0.7524,2.3485,0.0033,0.0045
