transition,n_cities,mean_dLST,median_dLST,std_dLST,mean_area,std_area
wat→bare,72,4.9336,3.1135,5.3178,0.074,0.3043
wat→imp,87,4.1619,3.2241,5.3538,0.8303,1.2024
wat→crop,54,3.8838,3.9044,5.4855,0.1089,0.2957
wat→veg,84,3.7427,3.2216,5.1777,0.2629,0.4845
imp→bare,3,3.5219,6.2607,4.8489,0.0003,0.0005
crop→imp,84,3.2462,3.1227,5.6825,1.659,2.6471
bare→imp,77,3.0448,2.3895,5.6356,0.7572,3.4585
veg→imp,91,2.8571,2.3689,5.4968,4.7923,3.9299
crop→bare,30,2.7213,2.996,4.7705,0.0604,0.1602
crop→veg,81,2.4205,2.1102,5.5878,1.0502,1.7588
veg→crop,85,2.3014,2.1093,5.341,0.9632,1.6375
bare→crop,25,2.2873,2.8206,5.0967,0.0768,0.2077
bare→veg,54,2.2571,1.8114,5.439,0.2765,1.6425
veg→bare,67,1.2964,1.2735,4.2466,0.1275,0.4953
imp→veg,5,1.2297,0.229,4.3808,0.011,0.0166
imp→wat,3,1.1467,-0.6008,7.1124,0.0001,0.0001
veg→wat,86,0.5732,0.522,4.6784,0.1868,0.3684
bare→wat,68,0.2139,0.1144,5.2466,0.0206,0.0552
imp→crop,2,-0.0762,-0.0762,5.2668,0.0033,0.0045
crop→wat,60,-0.4102,-0.2668,5.7413,0.1485,0.4945
