transition,mean_n_cities,mean_mean_dLST,mean_std_dLST,mean_mean_area,max_n_cities,max_mean_dLST,max_std_dLST,max_mean_area,top10_n_cities,top10_mean_dLST,top10_std_dLST,top10_mean_area,n_cities,mean_area_pct,ratio_max_vs_mean,ratio_top10_vs_mean
wat→bare,72,4.9336,5.3178,0.074,69,6.6669,6.2763,0.0742,69,6.6301,6.2568,0.0742,72,0.074,1.35,1.34
wat→imp,87,4.1619,5.3538,0.8303,84,6.0686,6.4343,0.8494,84,6.0251,6.4303,0.8494,87,0.8303,1.46,1.45
wat→crop,54,3.8838,5.4855,0.1089,51,6.3919,7.184,0.1092,51,6.4235,7.1282,0.1092,54,0.1089,1.65,1.65
wat→veg,84,3.7427,5.1777,0.2629,81,5.8891,6.1566,0.2518,81,5.8514,6.1266,0.2518,84,0.2629,1.57,1.56
imp→bare,3,3.5219,4.8489,0.0003,3,0.5598,4.3399,0.0003,3,0.5442,4.3669,0.0003,3,0.0003,0.16,0.15
crop→imp,84,3.2462,5.6825,1.659,81,5.1415,7.6625,1.6208,81,5.0921,7.6356,1.6208,84,1.659,1.58,1.57
bare→imp,77,3.0448,5.6356,0.7572,74,4.4748,6.2332,0.7875,74,4.4518,6.2377,0.7875,77,0.7572,1.47,1.46
veg→imp,91,2.8571,5.4968,4.7923,88,4.8059,7.0522,4.6528,88,4.7568,7.0456,4.6528,91,4.7923,1.68,1.66
crop→bare,30,2.7213,4.7705,0.0604,28,2.7968,5.9127,0.0644,28,2.7126,5.8378,0.0644,30,0.0604,1.03,1.0
crop→veg,81,2.4205,5.5878,1.0502,78,4.5023,7.6753,1.0566,78,4.447,7.6325,1.0566,81,1.0502,1.86,1.84
veg→crop,85,2.3014,5.341,0.9632,82,4.8643,7.5101,0.9334,82,4.8042,7.4903,0.9334,85,0.9632,2.11,2.09
bare→crop,25,2.2873,5.0967,0.0768,25,3.2878,6.9626,0.0768,25,3.1846,6.9712,0.0768,25,0.0768,1.44,1.39
bare→veg,54,2.2571,5.439,0.2765,52,3.9933,5.6417,0.2869,52,3.9186,5.6374,0.2869,54,0.2765,1.77,1.74
veg→bare,67,1.2964,4.2466,0.1275,64,2.7398,5.249,0.1315,64,2.6872,5.2139,0.1315,67,0.1275,2.11,2.07
imp→veg,5,1.2297,4.3808,0.011,5,-0.3108,3.8322,0.011,5,-0.3108,3.8322,0.011,5,0.011,-0.25,-0.25
imp→wat,3,1.1467,7.1124,0.0001,3,0.8625,5.0789,0.0001,3,0.8625,5.0789,0.0001,3,0.0001,0.75,0.75
veg→wat,86,0.5732,4.6784,0.1868,83,1.9174,6.256,0.1463,83,1.8771,6.2254,0.1463,86,0.1868,3.35,3.27
bare→wat,68,0.2139,5.2466,0.0206,66,0.7493,6.801,0.0207,66,0.7068,6.7826,0.0207,68,0.0206,3.5,3.3
imp→crop,2,-0.0762,5.2668,0.0033,2,-0.7524,2.3485,0.0033,2,-0.7524,2.3485,0.0033,2,0.0033,9.87,9.87
crop→wat,60,-0.4102,5.7413,0.1485,57,0.5982,7.3407,0.1454,57,0.5522,7.3268,0.1454,60,0.1485,-1.46,-1.35
