transition,n_cities,mean_dLST,median_dLST,std_dLST,mean_area,std_area
wat→bare,69,6.6301,5.3366,6.2568,0.0742,0.3106
wat→crop,51,6.4235,6.0007,7.1282,0.1092,0.3026
wat→imp,84,6.0251,5.6243,6.4303,0.8494,1.2195
wat→veg,81,5.8514,5.2901,6.1266,0.2518,0.4894
crop→imp,81,5.0921,4.895,7.6356,1.6208,2.6345
veg→crop,82,4.8042,3.8513,7.4903,0.9334,1.6166
veg→imp,88,4.7568,3.901,7.0456,4.6528,3.8985
bare→imp,74,4.4518,3.7332,6.2377,0.7875,3.5254
crop→veg,78,4.447,4.6153,7.6325,1.0566,1.7825
bare→veg,52,3.9186,3.6678,5.6374,0.2869,1.6736
bare→crop,25,3.1846,2.1332,6.9712,0.0768,0.2077
crop→bare,28,2.7126,4.2009,5.8378,0.0644,0.1652
veg→bare,64,2.6872,2.4399,5.2139,0.1315,0.5064
veg→wat,83,1.8771,1.7162,6.2254,0.1463,0.1952
imp→wat,3,0.8625,0.3792,5.0789,0.0001,0.0001
bare→wat,66,0.7068,1.4446,6.7826,0.0207,0.056
crop→wat,57,0.5522,-0.1136,7.3268,0.1454,0.5057
imp→bare,3,0.5442,2.7648,4.3669,0.0003,0.0005
imp→veg,5,-0.3108,-0.8794,3.8322,0.011,0.0166
imp→crop,2,-0.7524,-0.7524,2.3485,0.0033,0.0045
